# Data Description: ,,
"#                 Daily returns of S&P composite index from January 3, 2000 to December 31, 2003",,
# Variables: ,,
#                  Date: yearmmdd,,
#                  Ret: daily return on S&P composite index,,
"#                  Weekdays: 1=Monday, 2=Tuesday, 3=Wednesday, 4=Thursday, 5=Friday",,
,,
Date,Ret,Weekdays
20021030,0.012382,3
20021031,0.005794,4
20021101,0.017745,5
20021104,0.01484,1
20021105,0.002002,2
20021106,0.015698,3
20021107,-0.010866,4
20021108,-0.003372,5
20021111,-0.014146,1
20021112,0.008797,2
20021113,0.000292,3
20021114,0.017247,4
20021115,0.002714,5
20021118,-0.001593,1
20021119,-0.003056,2
20021120,0.015666,3
20021121,0.018413,4
20021122,0.005699,5
20021125,0.011743,1
20021126,-0.005697,2
20021127,0.02184,3
20021129,0.004968,5
20021202,0.00399,1
20021203,-0.009903,2
20021204,-0.004984,3
20021205,-0.006009,4
20021206,0.002664,5
20021209,-0.018135,1
20021210,0.008864,2
20021211,0.00156,3
20021212,0.001728,4
20021213,-0.009724,5
20021216,0.009188,1
20021217,-0.005409,2
20021218,-0.012743,3
20021219,-0.004196,4
20021220,0.004454,5
20021223,0.001945,1
20021224,0.001002,2
20021226,0.002205,4
20021227,-0.005236,5
20021230,-0.003506,1
20021231,0.010107,2
20030102,0.01966,4
20030103,0.002077,5
20030106,0.013249,1
20030107,-0.001244,2
20030108,-0.006623,3
20030109,0.013178,4
20030110,0.004016,5
20030113,0.0018,1
20030114,0.007417,2
20030115,-0.002844,3
20030116,0.000272,4
20030117,-0.00942,5
20030121,-0.007872,2
20030122,-0.003653,3
20030123,0.006405,4
20030124,-0.013763,5
20030127,-0.014225,1
20030128,0.007792,2
20030129,0.002197,3
20030130,-0.010804,4
20030131,0.007737,5
20030203,-0.001556,1
20030204,-0.005458,2
20030205,-0.001868,3
20030206,-0.00422,4
20030207,-0.008246,5
20030210,0.002037,1
20030211,-0.002397,2
20030212,-0.00907,3
20030213,-0.005077,4
20030214,0.007755,5
20030218,0.012812,2
20030219,-0.004331,3
20030220,0.000046,4
20030221,0.007628,5
20030224,-0.009037,1
20030225,0.001182,2
20030226,-0.005603,3
20030227,0.006529,4
20030228,0.0024,5
20030303,-0.00227,1
20030304,-0.007089,2
20030305,-0.000915,3
20030306,-0.005616,4
20030307,-0.00081,5
20030310,-0.013406,1
20030311,-0.003243,2
20030312,-0.002807,3
20030313,0.018412,4
20030314,0.001868,5
20030317,0.01744,1
20030318,0.00644,2
20030319,0.003233,3
20030320,0.004256,4
20030321,0.012867,5
20030324,-0.01812,1
20030325,0.009389,2
20030326,-0.002195,3
20030327,0.002082,4
20030328,0.001672,5
20030331,-0.004027,1
20030401,0.005813,2
20030402,0.015634,3
20030403,0.001685,4
20030404,0.001335,5
20030407,0.006795,1
20030408,-0.002795,2
20030409,-0.002292,3
20030410,0.001807,4
20030411,3.00E-06,5
20030414,0.010091,1
20030415,0.005309,2
20030416,-0.00103,3
20030417,0.012456,4
20030421,0.004992,1
20030422,0.012461,2
20030423,0.009148,3
20030424,-0.001927,4
20030425,-0.003925,5
20030428,0.012479,1
20030429,0.005035,2
20030430,0.007216,3
20030501,0.003829,4
20030502,0.016027,5
20030505,0.008788,1
20030506,0.008524,2
20030507,0.000458,3
20030508,-0.003033,4
20030509,0.012367,5
20030512,0.011645,1
20030513,0.003889,2
20030514,0.005043,3
20030515,0.007384,4
20030516,-0.001214,5
20030519,-0.010444,1
20030520,-0.000081,2
20030521,0.003923,3
20030522,0.008575,4
20030523,0.007257,5
20030527,0.015779,2
20030528,0.006644,3
20030529,0.006377,4
20030530,0.015356,5
20030602,0.006572,1
20030603,0.003275,2
20030604,0.016341,3
20030605,0.010659,4
20030606,0.000092,5
20030609,-0.007612,1
20030610,0.008583,2
20030611,0.010948,3
20030612,0.004575,4
20030613,-0.007074,5
20030616,0.011836,1
20030617,0.004299,2
20030618,0.001253,3
20030619,-0.006834,4
20030620,-0.000019,5
20030623,-0.0144,1
20030624,0.001452,2
20030625,0.002577,3
20030626,0.007691,4
20030627,-0.000204,5
20030630,0.000413,1
20030701,0.003234,2
20030702,0.016164,3
20030703,-0.001643,4
20030707,0.015405,1
20030708,0.010481,2
20030709,0.007281,3
20030710,-0.006715,4
20030711,0.008168,5
20030714,0.009617,1
20030715,-0.00276,2
20030716,-0.002498,3
20030717,-0.017683,4
20030718,0.006964,5
20030721,-0.00779,1
20030722,0.007828,2
20030723,0.003384,3
20030724,-0.000203,4
20030725,0.006078,5
20030728,0.005787,1
20030729,0.00016,2
20030730,-0.002178,3
20030731,0.004932,4
20030801,-0.008236,5
20030804,-0.002841,1
20030805,-0.007774,2
20030806,-0.00446,3
20030807,-0.00037,4
20030808,0.001707,5
20030811,0.00663,1
20030812,0.009272,2
20030813,0.002121,3
20030814,0.005324,4
20030815,0.001888,5
20030818,0.01043,1
20030819,0.008187,2
20030820,0.002401,3
20030821,0.009151,4
20030822,-0.006391,5
20030825,-0.002032,1
20030826,0.002735,2
20030827,0.006893,3
20030828,0.008642,4
20030829,0.00683,5
